p,p_bell,p_single_ratio,p_idle_ratio,telegate_idle_depth,logical_error_rate,acceptance_ratio,discarded_runs,n_samples,logical_failures,avg_fidelity,z_error_pre_decoding_rate,x_error_pre_decoding_rate,depth_cx_layers,depth_telegate_layers,encoding_circ_gate_counts,total_single_qubit_count,total_two_qubit_count,total_telegate_count,num_meas
0.0017166756138789728,0.0012587497926444527,0.01,0.1,25,0.0009818526543878656,0.945152,13712,250000,[232],0.9990181473456108,0.05698554306608884,0.0321006568255688,8,3,"[3, 6, 2]",3,8,3,1
0.0018747951698604795,0.0012587497926444527,0.01,0.1,25,0.0012451818262950104,0.941228,14693,250000,[293],0.9987548181737014,0.06187661225547901,0.03468235114127501,8,3,"[3, 6, 2]",3,8,3,1
0.0020474788017697024,0.0012587497926444527,0.01,0.1,25,0.0012267893171015287,0.9357759999999999,16056,250000,[287],0.9987732106828954,0.06712717573436378,0.03795352733987621,8,3,"[3, 6, 2]",3,8,3,1
0.0022360679774997894,0.0012587497926444527,0.01,0.1,25,0.0014689333482231061,0.931288,17178,250000,[342],0.9985310666517898,0.07291836682100489,0.040807999244057695,8,3,"[3, 6, 2]",3,8,3,1
0.00244202772486745,0.0012587497926444527,0.01,0.1,25,0.0017835935306946514,0.92622,18445,250000,[413],0.9982164064693083,0.08090518451339855,0.045535617887758846,8,3,"[3, 6, 2]",3,8,3,1
0.0026669580124702875,0.0012587497926444527,0.01,0.1,25,0.0019763362035190974,0.918872,20282,250000,[454],0.9980236637964858,0.08621004884249384,0.04943887723208456,8,3,"[3, 6, 2]",3,8,3,1
0.002912606178812128,0.0012587497926444527,0.01,0.1,25,0.002394075321292801,0.912252,21937,250000,[546],0.9976059246787138,0.09460105321775124,0.053590455268938846,8,3,"[3, 6, 2]",3,8,3,1
0.00318088050625023,0.0012587497926444527,0.01,0.1,25,0.0026995740770195996,0.905328,23668,250000,[611],0.9973004259229873,0.10263683438488592,0.05917413357368821,8,3,"[3, 6, 2]",3,8,3,1
0.0034738650452115797,0.0012587497926444527,0.01,0.1,25,0.0033581674635827868,0.8993,25175,250000,[755],0.9966418325364088,0.11108640053374848,0.06553986433893028,8,3,"[3, 6, 2]",3,8,3,1
0.003793835803838121,0.0012587497926444527,0.01,0.1,25,0.004235689388767113,0.890528,27368,250000,[943],0.9957643106112286,0.12202648316504366,0.07144525494987243,8,3,"[3, 6, 2]",3,8,3,1
